Price,Close,High,Low,Open,Volume
Ticker,BBAS3.SA,BBAS3.SA,BBAS3.SA,BBAS3.SA,BBAS3.SA
Date,,,,,
2005-05-20,1.6004754304885864,1.6127418338770294,1.5732763990524106,1.594609095392116,2511000
2005-05-23,1.6026078462600708,1.6207405735301903,1.582342018515896,1.5839418438714377,3088800
2005-05-24,1.6132746934890747,1.6132746934890747,1.5754095489354571,1.5967420892117334,2896200
2005-05-25,1.6106077432632446,1.6207408879747338,1.5892752085609623,1.5999416284944274,3115800
2005-05-27,1.6527389287948608,1.6532720511889627,1.6207401414797251,1.6207401414797251,5756400
2005-05-30,1.6479390859603882,1.663404975178066,1.6426058786535789,1.6532719881027018,1848600
2005-05-31,1.6372734308242798,1.662872473959776,1.6356736050650609,1.6356736050650609,2977200
2005-06-01,1.6479390859603882,1.6746046647476913,1.6287398143039207,1.6479390859603882,4293000
2005-06-02,1.6799389123916626,1.6906050284460001,1.6479401064816233,1.6612727515495451,6008400
2005-06-03,1.7172702550888062,1.7327366083108269,1.679938551748183,1.679938551748183,6345000
2005-06-06,1.6559391021728516,1.7114035215838128,1.627140113500612,1.627140113500612,7144200
2005-06-07,1.620740532875061,1.6527393279176392,1.6132739184916904,1.6527393279176392,5779800
2005-06-08,1.5786083936691284,1.6532722392299448,1.5204771423315038,1.6532722392299448,6350400
2005-06-09,1.5412758588790894,1.5839410512379228,1.5306095989349355,1.5626085313496152,2764800
2005-06-10,1.5599435567855835,1.5780759878606287,1.5519438157214913,1.5519438157214913,1193400
2005-06-13,1.5386102199554443,1.5828751098318523,1.5252772728942756,1.5780753282326307,2377800
2005-06-14,1.639406681060791,1.639406681060791,1.4932785948552114,1.5466100822302677,8413200
2005-06-15,1.6239404678344727,1.6239404678344724,1.547143353501924,1.6127409268065516,5389200
2005-06-16,1.6586055755615234,1.6586055755615234,1.6239402541598467,1.6239402541598467,2170800
2005-06-17,1.72153639793396,1.72793615525563,1.6330061927774842,1.6330061927774842,12434400
2005-06-20,1.728469729423523,1.7487358617793263,1.7060704966518656,1.7092704524402267,6181200
2005-06-21,1.706604242324829,1.7594023020121783,1.6644722970332964,1.727936928863418,4201200
2005-06-22,1.6820714473724365,1.7066039332706433,1.6532724554556106,1.7066039332706433,4570200
2005-06-23,1.6479390859603882,1.6740712372094368,1.6079405651971856,1.6740712372094368,3375000
2005-06-24,1.6612725257873535,1.6612725257873533,1.6164740510189408,1.626607195574649,2073600
2005-06-27,1.6484729051589966,1.6612724250071178,1.6111410485597992,1.6111410485597992,1807200
2005-06-28,1.6426063776016235,1.6580722715171268,1.6266069034035413,1.6532724902906197,3754800
2005-06-29,1.6479390859603882,1.6607386003980331,1.5999408305280958,1.6580717678712569,6960600
2005-06-30,1.6879383325576782,1.7274034427531053,1.6159409947406294,1.6159409947406294,5151600
2005-07-01,1.69060480594635,1.701271073179248,1.6799386912957748,1.6879384298660285,2372400
2005-07-04,1.6372734308242798,1.6799388078814392,1.6122078155241892,1.6799388078814392,2646000
2005-07-05,1.5999410152435303,1.6426060682947536,1.5844746664934974,1.6266065971094121,4249800
2005-07-06,1.5759426355361938,1.5999417000033112,1.557276323527183,1.5999417000033112,3540600
2005-07-07,1.5492761135101318,1.5679422654236947,1.5466095857720241,1.5466095857720241,2797200
2005-07-08,1.5519427061080933,1.5652753440450151,1.5252768199052074,1.553009256110143,2491200
2005-07-11,1.5924755334854126,1.5935423894430558,1.5498104501221108,1.559943598148862,1315800
2005-07-12,1.5999410152435303,1.6079407508362011,1.5892745993984592,1.5930078296860075,3893400
2005-07-13,1.6479390859603882,1.650605460740421,1.6031407854286308,1.6031407854286308,2484000
2005-07-14,1.6799389123916626,1.70127129708268,1.6426068958721123,1.6564728162262825,4129200
2005-07-15,1.6532721519470215,1.6591387873734866,1.637272681023245,1.6404726362409054,2199600
2005-07-18,1.6218072175979614,1.6367399898563546,1.6212737898662914,1.6276735494056027,3429000
2005-07-19,1.6079418659210205,1.6143416283168484,1.5834092145301242,1.6143416283168484,5103000
2005-07-20,1.626606822013855,1.6468726487241285,1.5866082911023291,1.5892748191411545,1767600
2005-07-21,1.639406681060791,1.6420732096548483,1.6132742125756108,1.626607160710534,1926000
2005-07-22,1.6095411777496338,1.639939998388423,1.5839419861910173,1.6266070511515316,4222800
2005-07-25,1.5332772731781006,1.5679429109569387,1.5039451508181323,1.5519434327766541,5839200
2005-07-26,1.5332772731781006,1.5466102225224485,1.5146114187442115,1.5359441071787017,2912400
2005-07-27,1.5780744552612305,1.5866076160027378,1.5332761624249804,1.5332761624249804,2741400
2005-07-28,1.650606393814087,1.6799388217095368,1.5860753576087656,1.5860753576087656,3526200
2005-07-29,1.6692721843719482,1.6783386254835335,1.647939803601675,1.6506061795428557,2516400
2005-08-01,1.6794049739837646,1.6906045145020312,1.6260734944307993,1.6586057183196294,2908800
2005-08-02,1.733269214630127,1.733269214630127,1.6788711961728229,1.6788711961728229,3357000
2005-08-03,1.8084664344787598,1.80846643447876,1.7332691667710554,1.7332691667710554,7966800
2005-08-04,1.8745982646942139,1.8996638793507024,1.7599358487817047,1.7759353266217426,7083000
2005-08-05,1.7812678813934326,1.8665981587934772,1.7812678813934326,1.8612649497012186,3195000
